params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.710784,0.038909,0.740803,0.047931,0.658462,0.115335,0.393784,0.097788,0.694226,0.057598,0.699632,0.051364,0.399265,0.102728
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.710784,0.038909,0.740803,0.047931,0.658462,0.115335,0.393784,0.097788,0.694226,0.057598,0.699632,0.051364,0.399265,0.102728
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.73555,0.050323,0.761258,0.054457,0.690462,0.093725,0.445284,0.107369,0.722995,0.057102,0.72586,0.05585,0.451719,0.111701
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.73555,0.050323,0.761258,0.054457,0.690462,0.093725,0.445284,0.107369,0.722995,0.057102,0.72586,0.05585,0.451719,0.111701
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.748636,0.061211,0.726956,0.072793,0.784923,0.079528,0.497714,0.119778,0.75403,0.060476,0.755939,0.060936,0.511879,0.121872
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.748636,0.061211,0.726956,0.072793,0.784923,0.079528,0.497714,0.119778,0.75403,0.060476,0.755939,0.060936,0.511879,0.121872
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.760166,0.06478,0.738266,0.101042,0.797385,0.063656,0.524677,0.113333,0.764512,0.057075,0.767826,0.055609,0.535651,0.111218
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.760166,0.06478,0.738266,0.101042,0.797385,0.063656,0.524677,0.113333,0.764512,0.057075,0.767826,0.055609,0.535651,0.111218
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.779071,0.065531,0.736047,0.087306,0.852615,0.065278,0.571713,0.118682,0.79066,0.06181,0.794331,0.060583,0.588662,0.121166
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.777621,0.066865,0.733774,0.088968,0.852615,0.065278,0.569528,0.120841,0.789418,0.062958,0.793195,0.061671,0.586389,0.123342
"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.758802,0.081014,0.715433,0.104934,0.833385,0.073105,0.533691,0.147756,0.770374,0.076669,0.774409,0.07517,0.548818,0.15034
"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.757353,0.081995,0.713161,0.106366,0.833385,0.073105,0.531542,0.149233,0.769111,0.077487,0.773273,0.075922,0.546545,0.151844
"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.771846,0.070929,0.720032,0.081884,0.860615,0.076911,0.56233,0.135347,0.78621,0.069609,0.790324,0.069324,0.580647,0.138648
"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.771846,0.070929,0.720032,0.081884,0.860615,0.076911,0.56233,0.135347,0.78621,0.069609,0.790324,0.069324,0.580647,0.138648
"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.761701,0.068906,0.703964,0.090503,0.861077,0.057259,0.547369,0.121267,0.777203,0.065849,0.78252,0.063038,0.565041,0.126077
"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.761701,0.068906,0.703964,0.090503,0.861077,0.057259,0.547369,0.121267,0.777203,0.065849,0.78252,0.063038,0.565041,0.126077
"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.768883,0.051305,0.699419,0.070556,0.888462,0.064334,0.569508,0.092028,0.786773,0.050007,0.79394,0.048295,0.58788,0.096591
"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.767434,0.049003,0.697146,0.068494,0.888462,0.064334,0.567383,0.088164,0.785471,0.047703,0.792804,0.046195,0.585607,0.092391
"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.773316,0.0683,0.708668,0.082445,0.884615,0.074871,0.574514,0.127432,0.790497,0.067293,0.796642,0.066018,0.593283,0.132035
"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.773338,0.067593,0.708668,0.082445,0.884769,0.076659,0.574828,0.126337,0.790443,0.066676,0.796719,0.065479,0.593437,0.130958
"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.773252,0.062966,0.701691,0.082664,0.896615,0.048322,0.579161,0.108753,0.792099,0.060397,0.799153,0.057035,0.598307,0.11407
"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.776151,0.06027,0.706237,0.081437,0.896615,0.048322,0.583661,0.103149,0.794546,0.057548,0.801426,0.0542,0.602852,0.1084
"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.786381,0.06442,0.724736,0.09017,0.892615,0.059564,0.59894,0.111676,0.802521,0.06077,0.808676,0.057717,0.617351,0.115435
"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.786402,0.063354,0.724736,0.09017,0.892615,0.069483,0.599483,0.111094,0.802139,0.060341,0.808676,0.057605,0.617351,0.11521
"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.773295,0.057911,0.69704,0.080314,0.904615,0.051432,0.583044,0.09875,0.792691,0.055722,0.800828,0.052243,0.601656,0.104486
"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.779092,0.058549,0.706237,0.080067,0.904615,0.051432,0.591653,0.10062,0.79799,0.056137,0.805426,0.05289,0.610852,0.10578
"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.777664,0.05785,0.708668,0.074947,0.896615,0.060125,0.585853,0.103863,0.795917,0.0563,0.802642,0.054161,0.605283,0.108322
"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.780584,0.058301,0.710941,0.077834,0.900615,0.062818,0.592441,0.104202,0.798743,0.056387,0.805778,0.054255,0.611556,0.10851
"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.767455,0.054226,0.687791,0.077678,0.904462,0.062706,0.57491,0.094287,0.786948,0.052736,0.796126,0.049857,0.592252,0.099714
"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.770354,0.056462,0.692389,0.078874,0.904462,0.062706,0.579112,0.098825,0.789666,0.05482,0.798425,0.052034,0.596851,0.104067
"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.776236,0.063392,0.706448,0.077946,0.896615,0.065231,0.583436,0.115358,0.794752,0.062377,0.801532,0.060313,0.603064,0.120626
"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.776236,0.063392,0.706448,0.077946,0.896615,0.065231,0.583436,0.115358,0.794752,0.062377,0.801532,0.060313,0.603064,0.120626
"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.766027,0.0602,0.676427,0.078083,0.920462,0.064601,0.579744,0.107605,0.787632,0.059612,0.798444,0.056692,0.596889,0.113385
"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.768926,0.060231,0.681025,0.078657,0.920462,0.064601,0.584008,0.107262,0.79027,0.059471,0.800743,0.056505,0.601487,0.113011
"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.776215,0.067333,0.70407,0.084434,0.900615,0.060217,0.58509,0.119524,0.795141,0.065956,0.802343,0.062775,0.604685,0.125549
"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.779156,0.066448,0.708721,0.083306,0.900615,0.067721,0.589757,0.119575,0.797562,0.06555,0.804668,0.062769,0.609336,0.125538
"{'classifier__n_neighbors': 19, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.767498,0.052839,0.681025,0.067119,0.916462,0.070434,0.579891,0.099547,0.788664,0.052903,0.798743,0.051906,0.597487,0.103812
"{'classifier__n_neighbors': 19, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.766027,0.053101,0.6787,0.069287,0.916462,0.070434,0.578007,0.09897,0.787182,0.052984,0.797581,0.051682,0.595161,0.103364
"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.776236,0.06599,0.699524,0.087886,0.908462,0.056924,0.588945,0.1129,0.795606,0.064806,0.803993,0.059913,0.607986,0.119827
"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.777707,0.06588,0.70185,0.088114,0.908462,0.06481,0.591484,0.114084,0.796685,0.065077,0.805156,0.060498,0.610311,0.120996
"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.768926,0.053886,0.685571,0.072212,0.912462,0.066608,0.580407,0.098171,0.789418,0.053078,0.799016,0.051318,0.598032,0.102635
"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.768905,0.053985,0.685571,0.072957,0.912462,0.066608,0.580505,0.097841,0.789363,0.05306,0.799016,0.051145,0.598032,0.10229
"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.776194,0.062852,0.697093,0.081809,0.912462,0.061617,0.590579,0.110604,0.796123,0.061949,0.804777,0.058408,0.609555,0.116816
"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.776194,0.06146,0.699419,0.082122,0.908462,0.06481,0.589162,0.107836,0.795457,0.060615,0.80394,0.057021,0.60788,0.114043
"{'classifier__n_neighbors': 23, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.774766,0.057529,0.687949,0.074118,0.924462,0.055078,0.593653,0.101571,0.796405,0.056575,0.806205,0.053586,0.612411,0.107172
"{'classifier__n_neighbors': 23, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.773316,0.05676,0.687949,0.074118,0.920462,0.059441,0.589947,0.100882,0.794509,0.055911,0.804205,0.053168,0.608411,0.106336
"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.779113,0.065284,0.699419,0.086953,0.916462,0.063253,0.59699,0.113034,0.798899,0.064489,0.80794,0.059956,0.61588,0.119911
"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.776194,0.064136,0.699419,0.086953,0.908462,0.06481,0.589298,0.110631,0.795242,0.063358,0.80394,0.058778,0.60788,0.117557
"{'classifier__n_neighbors': 25, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.767477,0.051328,0.6787,0.067049,0.920462,0.059441,0.581394,0.092937,0.789235,0.050924,0.799581,0.048905,0.599161,0.097809
"{'classifier__n_neighbors': 25, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.768947,0.051016,0.681025,0.064806,0.920462,0.059441,0.583278,0.093483,0.790717,0.050779,0.800743,0.049094,0.601487,0.098188
"{'classifier__n_neighbors': 25, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.777664,0.058572,0.699366,0.080363,0.912462,0.061617,0.593117,0.101486,0.797182,0.057429,0.805914,0.053762,0.611827,0.107523
"{'classifier__n_neighbors': 25, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.777664,0.059638,0.701638,0.082693,0.908462,0.067234,0.591733,0.103984,0.79647,0.058598,0.80505,0.055069,0.6101,0.110138
"{'classifier__n_neighbors': 27, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.770375,0.056356,0.683298,0.075506,0.920462,0.059441,0.585951,0.099192,0.791676,0.055337,0.80188,0.052348,0.60376,0.104695
"{'classifier__n_neighbors': 27, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.770375,0.056356,0.683298,0.075506,0.920462,0.059441,0.585951,0.099192,0.791676,0.055337,0.80188,0.052348,0.60376,0.104695
"{'classifier__n_neighbors': 27, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.777664,0.053708,0.694767,0.072035,0.920462,0.064601,0.596477,0.09629,0.798231,0.053321,0.807614,0.050943,0.615229,0.101886
"{'classifier__n_neighbors': 27, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.776215,0.05414,0.69704,0.074072,0.912462,0.068969,0.591075,0.097281,0.795806,0.053771,0.804751,0.051464,0.609502,0.102928
"{'classifier__n_neighbors': 29, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.771846,0.059276,0.685677,0.076603,0.920462,0.067032,0.587972,0.106369,0.792953,0.059248,0.803069,0.056245,0.606138,0.112491
"{'classifier__n_neighbors': 29, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.773295,0.054933,0.690222,0.071339,0.916462,0.065734,0.58816,0.099711,0.79396,0.05481,0.803342,0.052533,0.606684,0.105065
"{'classifier__n_neighbors': 29, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.776194,0.058705,0.694767,0.080881,0.916462,0.070434,0.593158,0.103423,0.796005,0.058288,0.805614,0.054976,0.611229,0.109952
"{'classifier__n_neighbors': 29, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.779092,0.056771,0.699313,0.078061,0.916462,0.070434,0.597404,0.101219,0.798719,0.056217,0.807887,0.053599,0.615774,0.107198
"{'classifier__n_neighbors': 31, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.767477,0.060006,0.67648,0.076353,0.924462,0.06061,0.583229,0.106673,0.789573,0.059741,0.800471,0.056422,0.600941,0.112843
"{'classifier__n_neighbors': 31, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.767477,0.055648,0.678753,0.071232,0.920462,0.059441,0.581327,0.099873,0.78927,0.055199,0.799607,0.052596,0.599214,0.105193
"{'classifier__n_neighbors': 31, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.771846,0.05752,0.685624,0.076203,0.920462,0.064601,0.587931,0.101891,0.792883,0.057467,0.803043,0.05416,0.606085,0.108319
"{'classifier__n_neighbors': 31, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.774766,0.057529,0.692495,0.079606,0.916462,0.070434,0.591034,0.101654,0.794708,0.057225,0.804478,0.054036,0.608956,0.108073
"{'classifier__n_neighbors': 33, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.768947,0.052237,0.681078,0.066067,0.920462,0.059441,0.583211,0.094987,0.790719,0.052151,0.80077,0.049997,0.60154,0.099995
"{'classifier__n_neighbors': 33, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.771846,0.048779,0.685624,0.061082,0.920462,0.059441,0.587307,0.090387,0.793454,0.048867,0.803043,0.047427,0.606085,0.094854
"{'classifier__n_neighbors': 33, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.771846,0.059318,0.683298,0.077593,0.924462,0.06807,0.589831,0.105968,0.7932,0.059699,0.80388,0.056457,0.60776,0.112915
"{'classifier__n_neighbors': 33, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.774766,0.060726,0.692495,0.081014,0.916462,0.07267,0.590803,0.108405,0.794774,0.060963,0.804478,0.057705,0.608956,0.115411
"{'classifier__n_neighbors': 35, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.768968,0.046617,0.681131,0.054591,0.920462,0.059441,0.582781,0.088956,0.791066,0.047158,0.800796,0.046429,0.601593,0.092859
"{'classifier__n_neighbors': 35, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.770418,0.045886,0.683404,0.055044,0.920462,0.059441,0.584966,0.087188,0.792317,0.046392,0.801933,0.04557,0.603865,0.091141
"{'classifier__n_neighbors': 35, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.776194,0.061841,0.687896,0.08047,0.928462,0.064046,0.597863,0.108887,0.797697,0.061883,0.808179,0.058109,0.616358,0.116217
"{'classifier__n_neighbors': 35, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.776215,0.061068,0.692495,0.081014,0.920462,0.067032,0.59448,0.107762,0.796716,0.06097,0.806478,0.057389,0.612956,0.114777
"{'classifier__n_neighbors': 37, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.76607,0.047028,0.674154,0.059262,0.924462,0.055078,0.580669,0.086527,0.788597,0.047257,0.799308,0.045612,0.598616,0.091224
"{'classifier__n_neighbors': 37, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.767519,0.04594,0.678805,0.056288,0.920462,0.059441,0.580895,0.086809,0.789582,0.046386,0.799634,0.045432,0.599267,0.090863
"{'classifier__n_neighbors': 37, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.777643,0.062481,0.692442,0.085005,0.924462,0.06807,0.598856,0.109004,0.798199,0.062021,0.808452,0.058146,0.616903,0.116293
"{'classifier__n_neighbors': 37, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.776194,0.06218,0.692442,0.085005,0.920462,0.067032,0.594899,0.108133,0.796467,0.061561,0.806452,0.057634,0.612903,0.115269
"{'classifier__n_neighbors': 39, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.764599,0.043564,0.669609,0.058536,0.928462,0.050019,0.580723,0.077461,0.787548,0.043469,0.799035,0.041103,0.59807,0.082206
"{'classifier__n_neighbors': 39, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.768947,0.046266,0.678805,0.058178,0.924462,0.055078,0.584889,0.085238,0.791316,0.046265,0.801634,0.044729,0.603267,0.089458
"{'classifier__n_neighbors': 39, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.773295,0.061872,0.687896,0.083763,0.920462,0.067032,0.590509,0.107857,0.793896,0.061565,0.804179,0.057592,0.608358,0.115184
"{'classifier__n_neighbors': 39, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.774744,0.063578,0.690169,0.085703,0.920462,0.067032,0.592634,0.110594,0.795198,0.063193,0.805315,0.059071,0.610631,0.118143
